Temperatura;Densidade ;Calor especifico;Condutividade termica;Viscosidade
5;5,4275;594,93;0,0089735;1,10E-05
10;5,3243;599,25;0,0092157;1,12E-05
15;5,2252;603,58;0,0094591;1,14E-05
20;5,13;607,89;0,0097037;1,16E-05
25;5,0385;612,18;0,0099493;1,18E-05
30;4,9503;616,44;0,010196;1,20E-05
35;4,8654;620,67;0,010443;1,22E-05
40;4,7835;624,86;0,010691;1,24E-05
45;4,7044;629;0,01094;1,26E-05
50;4,6281;633,1;0,01119;1,28E-05
55;4,5543;637,15;0,01144;1,30E-05
60;4,4829;641,15;0,01169;1,32E-05
65;4,4138;645,1;0,011941;1,34E-05
70;4,3469;648,99;0,012192;1,36E-05
75;4,2821;652,83;0,012443;1,38E-05
80;4,2192;656,61;0,012695;1,40E-05
85;4,1583;660,34;0,012946;1,42E-05
90;4,0991;664,01;0,013198;1,44E-05
95;4,0416;667,62;0,01345;1,46E-05
100;3,9858;671,18;0,013701;1,48E-05
105;3,9315;674,68;0,013953;1,50E-05
110;3,8788;678,12;0,014204;1,52E-05
115;3,8274;681,51;0,014455;1,54E-05
120;3,7775;684,84;0,014706;1,56E-05
125;3,7288;688,11;0,014957;1,58E-05
130;3,6815;691,33;0,015207;1,60E-05
135;3,6353;694,5;0,015457;1,62E-05
140;3,5903;697,61;0,015707;1,64E-05
145;3,5465;700,67;0,015956;1,65E-05
150;3,5037;703,67;0,016205;1,67E-05
155;3,4619;706,63;0,016453;1,69E-05
160;3,4212;709,53;0,0167;1,71E-05
165;3,3814;712,38;0,016947;1,73E-05
170;3,3426;715,18;0,017194;1,75E-05
175;3,3046;717,94;0,01744;1,77E-05
180;3,2675;720,64;0,017685;1,78E-05
185;3,2313;723,3;0,01793;1,80E-05
190;3,1958;725,91;0,018174;1,82E-05
195;3,1612;728,47;0,018417;1,84E-05
200;3,1273;730,99;0,01866;1,86E-05
