Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;3,098;710,29;0,01255;1,39E-05
10;3,0415;716,76;0,012816;1,42E-05
15;2,987;723,32;0,013083;1,44E-05
20;2,9346;729,96;0,01335;1,47E-05
25;2,884;736,66;0,013634;1,49E-05
30;2,8352;743,41;0,013885;1,51E-05
35;2,7881;750,2;0,014151;1,54E-05
40;2,7425;757,02;0,014418;1,56E-05
45;2,6985;763,86;0,014685;1,59E-05
50;2,6558;770,71;0,014953;1,61E-05
55;2,6146;777,56;0,01522;1,63E-05
60;2,5746;784,41;0,015487;1,66E-05
65;2,5358;791,25;0,015754;1,68E-05
70;2,4982;798,08;0,016021;1,70E-05
75;2,4618;804,89;0,016289;1,72E-05
80;2,4264;811,68;0,016556;1,75E-05
85;2,392;818,45;0,016823;1,77E-05
90;2,3586;825,18;0,017091;1,79E-05
95;2,3261;831,88;0,017358;1,81E-05
100;2,2945;838,55;0,017625;1,84E-05
105;2,2638;845,18;0,017893;1,86E-05
110;2,2339;851,76;0,01816;1,88E-05
115;2,2048;858,31;0,018428;1,90E-05
120;2,1764;864,81;0,018695;1,92E-05
125;2,1488;871,26;0,018963;1,94E-05
130;2,1219;877,66;0,01923;1,97E-05
135;2,0956;884,01;0,019498;1,99E-05
140;2,07;890,31;0,019765;2,01E-05
145;2,0451;896,56;0,020033;2,03E-05
150;2,0207;902,75;0,0203;2,05E-05
155;1,9969;908,89;0,020568;2,07E-05
160;1,9736;914,97;0,020835;2,09E-05
165;1,9509;920,99;0,021103;2,11E-05
170;1,9288;926,96;0,02137;2,13E-05
175;1,9071;932,86;0,021638;2,15E-05
180;1,8859;938,71;0,021906;2,18E-05
185;1,8652;944,5;0,022173;2,20E-05
190;1,8449;950,23;0,022441;2,22E-05
195;1,8251;955,9;0,022709;2,24E-05
200;1,8057;961,51;0,022976;2,26E-05
