Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;8,4714;768,79;0,011047;1,16E-05
10;8,3066;775,71;0,011413;1,18E-05
15;8,1488;782,69;0,011784;1,21E-05
20;7,9977;789,72;0,01216;1,23E-05
25;7,8526;796,77;0,01254;1,25E-05
30;7,7132;803,84;0,012925;1,27E-05
35;7,5792;810,89;0,013314;1,29E-05
40;7,4501;817,92;0,013708;1,31E-05
45;7,3256;824,92;0,014106;1,33E-05
50;7,2056;831,88;0,014508;1,35E-05
55;7,0896;838,79;0,014914;1,37E-05
60;6,9776;845,64;0,015324;1,40E-05
65;6,8693;852,44;0,015738;1,42E-05
70;6,7645;859,17;0,016155;1,44E-05
75;6,6629;865,83;0,016576;1,46E-05
80;6,5646;872,42;0,017001;1,48E-05
85;6,4692;878,94;0,01743;1,50E-05
90;6,3766;885,38;0,017861;1,52E-05
95;6,2868;891,74;0,018296;1,54E-05
100;6,1996;898,02;0,018734;1,56E-05
105;6,1149;904,21;0,019176;1,58E-05
110;6,0325;910,32;0,01962;1,60E-05
115;5,9524;916,35;0,020067;1,62E-05
120;5,8744;922,3;0,020517;1,63E-05
125;5,7985;928,15;0,02097;1,65E-05
130;5,7246;933,93;0,021426;1,67E-05
135;5,6527;939,61;0,021884;1,69E-05
140;5,5825;945,21;0,022345;1,71E-05
145;5,5141;950,73;0,022808;1,73E-05
150;5,4474;956,16;0,023274;1,75E-05
155;5,3824;961,5;0,023742;1,77E-05
160;5,3189;966,76;0,024212;1,79E-05
165;5,2569;971,94;0,024685;1,81E-05
