Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;6,1885;720,12;0,010534;1,08E-05
10;6,0656;725,11;0,010858;1,10E-05
15;5,9482;730,4;0,011186;1,12E-05
20;5,8359;735,93;0,011518;1,14E-05
25;5,7282;741,62;0,011854;1,16E-05
30;5,625;747,44;0,012194;1,18E-05
35;5,5258;753,36;0,012537;1,20E-05
40;5,4303;759,34;0,012884;1,22E-05
45;5,3384;765,39;0,013235;1,24E-05
50;5,2499;771,48;0,013589;1,26E-05
55;5,1644;777,61;0,013947;1,28E-05
60;5,082;783,76;0,014309;1,30E-05
65;5,0022;789,94;0,014674;1,32E-05
70;4,9252;796,12;0,015042;1,34E-05
75;4,8506;802,32;0,015415;1,35E-05
80;4,7783;808,52;0,01579;1,37E-05
85;4,7084;814,73;0,016169;1,39E-05
90;4,6405;820,94;0,016551;1,41E-05
95;4,5747;827,14;0,016937;1,43E-05
100;4,5108;833,34;0,017326;1,45E-05
105;4,4487;839,54;0,017718;1,47E-05
110;4,3884;845,73;0,018114;1,49E-05
115;4,3298;851,92;0,018513;1,50E-05
120;4,2728;858,09;0,018915;1,52E-05
125;4,2173;864,26;0,019321;1,54E-05
130;4,1633;870,42;0,01973;1,56E-05
135;4,1107;876,58;0,020142;1,58E-05
140;4,0595;882,72;0,020557;1,60E-05
145;4,0096;888,86;0,020976;1,61E-05
150;3,9609;894,98;0,021398;1,63E-05
155;3,9134;901,1;0,021824;1,65E-05
160;3,8671;907,21;0,022253;1,67E-05
165;3,8219;913,31;0,022685;1,68E-05
170;3,7778;919,4;0,02312;1,70E-05
175;3,7347;925,49;0,023559;1,72E-05
180;3,6926;931,57;0,024001;1,74E-05
185;3,6514;937,64;0,024447;1,75E-05
190;3,6112;943,71;0,024896;1,77E-05
195;3,5719;949,78;0,025348;1,79E-05
