Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;6,1283;744,71;0,013272;1,32E-05
10;6,0153;752,56;0,01365;1,35E-05
15;5,9066;760,35;0,014029;1,37E-05
20;5,8019;768,07;0,01441;1,39E-05
25;5,7009;775,72;0,014793;1,41E-05
30;5,6036;783,29;0,015178;1,44E-05
35;5,5096;790,78;0,015564;1,46E-05
40;5,4189;798,19;0,015951;1,48E-05
45;5,3312;805,51;0,01634;1,51E-05
50;5,2463;812,75;0,01673;1,53E-05
55;5,1642;819,9;0,017121;1,55E-05
60;5,0847;826,96;0,017513;1,57E-05
65;5,0076;833,92;0,017905;1,59E-05
70;4,9329;840,8;0,018298;1,62E-05
75;4,8605;847,57;0,018691;1,64E-05
80;4,7901;854,26;0,019085;1,66E-05
85;4,7219;860,85;0,019478;1,68E-05
90;4,6556;867,34;0,019872;1,70E-05
95;4,5911;873,74;0,020266;1,72E-05
100;4,5285;880,04;0,02066;1,75E-05
105;4,4676;886,25;0,021054;1,77E-05
110;4,4083;892,36;0,021447;1,79E-05
115;4,3506;898,37;0,02184;1,81E-05
120;4,2944;904,29;0,022233;1,83E-05
125;4,2396;910,12;0,022625;1,85E-05
130;4,1863;915,85;0,023017;1,87E-05
135;4,1343;921,48;0,023408;1,89E-05
140;4,0836;927,03;0,023798;1,91E-05
145;4,0341;932,48;0,024188;1,93E-05
150;3,9859;937,84;0,024577;1,95E-05
