Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;1610,3;899,78;0,072588;0,00088132
10;1598,7;904,08;0,071484;0,00081358
15;1586,9;908,52;0,070396;0,00075391
20;1575,1;913,08;0,069324;0,00070095
25;1563,2;917,76;0,068267;0,00065363
30;1551,2;922,55;0,067223;0,00061108
35;1539,1;927,46;0,066193;0,00057263
40;1526,9;932,49;0,065176;0,0005377
45;1514,6;937,65;0,06417;0,00050582
47,585;1508,2;940,37;0,063655;0,0004904
47,585;7,4244;691,43;0,0095063;1,03E-05
50;7,3604;692,87;0,0096122;1,04E-05
55;7,232;696,04;0,0098323;1,05E-05
60;7,1088;699,38;0,010053;1,07E-05
65;6,9904;702,84;0,010276;1,09E-05
70;6,8765;706,4;0,010499;1,11E-05
75;6,7668;710,01;0,010722;1,13E-05
80;6,6609;713,66;0,010947;1,14E-05
85;6,5587;717,33;0,011172;1,16E-05
90;6,46;721;0,011398;1,18E-05
95;6,3644;724,67;0,011625;1,19E-05
100;6,272;728,33;0,011852;1,21E-05
105;6,1824;731,96;0,012079;1,23E-05
110;6,0955;735,58;0,012307;1,25E-05
115;6,0113;739,16;0,012535;1,26E-05
120;5,9295;742,7;0,012764;1,28E-05
125;5,8501;746,21;0,012992;1,30E-05
130;5,7729;749,69;0,013221;1,31E-05
135;5,6978;753,12;0,013451;1,33E-05
140;5,6248;756,51;0,01368;1,35E-05
145;5,5537;759,85;0,013909;1,36E-05
150;5,4846;763,16;0,014139;1,38E-05
155;5,4172;766,41;0,014368;1,40E-05
160;5,3515;769,63;0,014598;1,41E-05
165;5,2875;772,79;0,014827;1,43E-05
170;5,2251;775,92;0,015056;1,45E-05
175;5,1641;778,99;0,015286;1,46E-05
180;5,1047;782,02;0,015515;1,48E-05
185;5,0467;785,01;0,015743;1,50E-05
190;4,99;787,95;0,015972;1,51E-05
195;4,9346;790,85;0,016201;1,53E-05
200;4,8805;793,7;0,016429;1,54E-05
