Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;7,7257;787,75;0,011896;1,08E-05
10;7,5703;794,12;0,012255;1,10E-05
15;7,4222;800,67;0,012616;1,12E-05
20;7,2807;807,35;0,012978;1,14E-05
25;7,1453;814,1;0,013342;1,16E-05
30;7,0155;820,89;0,013708;1,18E-05
35;6,8909;827,7;0,014075;1,20E-05
40;6,7712;834,52;0,014444;1,22E-05
45;6,6561;841,31;0,014814;1,24E-05
50;6,5451;848,07;0,015185;1,26E-05
55;6,4382;854,79;0,015557;1,28E-05
60;6,3349;861,45;0,015931;1,30E-05
65;6,2352;868,06;0,016305;1,32E-05
70;6,1388;874,61;0,01668;1,34E-05
75;6,0456;881,08;0,017055;1,36E-05
80;5,9553;887,49;0,017431;1,37E-05
85;5,8679;893,82;0,017808;1,39E-05
90;5,7831;900,08;0,018185;1,41E-05
95;5,7008;906,26;0,018563;1,43E-05
100;5,621;912,36;0,018941;1,45E-05
105;5,5435;918,38;0,019319;1,47E-05
110;5,4682;924,33;0,019697;1,49E-05
115;5,3951;930,19;0,020076;1,51E-05
120;5,3239;935,98;0,020454;1,53E-05
125;5,2546;941,68;0,020833;1,54E-05
130;5,1872;947,31;0,021211;1,56E-05
135;5,1216;952,85;0,02159;1,58E-05
140;5,0577;958,32;0,021968;1,60E-05
145;4,9953;963,71;0,022346;1,62E-05
150;4,9346;969,03;0,022724;1,64E-05
155;4,8754;974,26;0,023101;1,65E-05
160;4,8176;979,42;0,023478;1,67E-05
165;4,7612;984,51;0,023855;1,69E-05
170;4,7061;989,52;0,024231;1,71E-05
175;4,6523;994,45;0,024607;1,72E-05
180;4,5998;999,32;0,024982;1,74E-05
185;4,5484;1004,1;0,025357;1,76E-05
190;4,4983;1008,8;0,025731;1,78E-05
195;4,4492;1013,5;0,026105;1,79E-05
200;4,4012;1018,1;0,026477;1,81E-05
