Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;1,5077;1105;0,015677;1,02E-05
10;1,48;1109,6;0,016055;1,04E-05
15;1,4534;1114,7;0,016438;1,06E-05
20;1,4278;1120,2;0,016827;1,08E-05
25;1,4031;1126,1;0,01722;1,10E-05
30;1,3793;1132,4;0,017619;1,11E-05
35;1,3563;1139;0,018023;1,13E-05
40;1,3341;1146;0,018432;1,15E-05
45;1,3126;1153,2;0,018845;1,17E-05
50;1,2918;1160,7;0,019264;1,18E-05
55;1,2717;1168,5;0,019688;1,20E-05
60;1,2522;1176,5;0,020117;1,22E-05
65;1,2333;1184,8;0,020551;1,24E-05
70;1,215;1193,2;0,020989;1,25E-05
75;1,1973;1201,8;0,021433;1,27E-05
80;1,18;1210,7;0,021881;1,29E-05
85;1,1633;1219,7;0,022335;1,31E-05
90;1,147;1228,8;0,022793;1,32E-05
95;1,1312;1238,1;0,023255;1,34E-05
100;1,1159;1247,6;0,023722;1,36E-05
105;1,1009;1257,1;0,024194;1,37E-05
110;1,0864;1266,8;0,024671;1,39E-05
115;1,0722;1276,6;0,025152;1,41E-05
120;1,0584;1286,6;0,025637;1,42E-05
125;1,045;1296,6;0,026126;1,44E-05
130;1,0319;1306,7;0,02662;1,46E-05
135;1,0191;1316,9;0,027118;1,47E-05
140;1,0066;1327,2;0,02762;1,49E-05
145;0,99446;1337,5;0,028126;1,50E-05
150;0,9826;1347,9;0,028636;1,52E-05
155;0,97102;1358,3;0,02915;1,54E-05
160;0,95971;1368,8;0,029667;1,55E-05
165;0,94866;1379,4;0,030188;1,57E-05
170;0,93787;1390;0,030713;1,58E-05
175;0,92732;1400,6;0,031241;1,60E-05
180;0,917;1411,2;0,031772;1,61E-05
185;0,90692;1421,9;0,032306;1,63E-05
190;0,89705;1432,5;0,032844;1,65E-05
195;0,8874;1443,2;0,033384;1,66E-05
200;0,87796;1453,9;0,033927;1,68E-05
