Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;1514,1;995,85;0,082208;0,00053074
10;1501,7;1001,6;0,080726;0,0004991
15;1489,3;1007,5;0,079267;0,00046985
20;1476,7;1013,5;0,077831;0,00044275
25;1463,9;1019,6;0,07642;0,00041761
27,823;1456,6;1023;0,075634;0,0004042
27,823;6,4714;700,62;0,0093483;1,08E-05
30;6,4171;702,4;0,0094773;1,09E-05
35;6,2964;706,58;0,0097728;1,11E-05
40;6,1809;710,86;0,010067;1,13E-05
45;6,0703;715,23;0,010361;1,15E-05
50;5,9642;719,66;0,010653;1,16E-05
55;5,8623;724,15;0,010945;1,18E-05
60;5,7643;728,67;0,011236;1,20E-05
65;5,67;733,22;0,011527;1,22E-05
70;5,579;737,79;0,011817;1,24E-05
75;5,4913;742,36;0,012107;1,25E-05
80;5,4066;746,94;0,012396;1,27E-05
85;5,3247;751,52;0,012685;1,29E-05
90;5,2455;756,08;0,012973;1,30E-05
95;5,1688;760,64;0,013261;1,32E-05
100;5,0945;765,17;0,013548;1,34E-05
105;5,0225;769,69;0,013835;1,35E-05
110;4,9527;774,18;0,014122;1,37E-05
115;4,8849;778,64;0,014408;1,39E-05
120;4,8191;783,08;0,014695;1,40E-05
125;4,7551;787,48;0,014981;1,42E-05
130;4,6929;791,86;0,015266;1,44E-05
135;4,6324;796,2;0,015552;1,45E-05
140;4,5736;800,51;0,015837;1,47E-05
145;4,5163;804,78;0,016123;1,48E-05
150;4,4605;809,02;0,016408;1,50E-05
155;4,4061;813,22;0,016693;1,51E-05
160;4,3531;817,38;0,016978;1,53E-05
165;4,3014;821,51;0,017263;1,55E-05
170;4,251;825,61;0,017547;1,56E-05
175;4,2018;829,67;0,017832;1,57E-05
180;4,1538;833,69;0,018117;1,59E-05
185;4,1068;837,67;0,018401;1,60E-05
190;4,061;841,62;0,018686;1,62E-05
195;4,0162;845,54;0,01897;1,63E-05
200;3,9725;849,42;0,019254;1,65E-05
