Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;5,3633;767,54;0,012529;1,22E-05
10;5,2621;774,76;0,012898;1,24E-05
15;5,1649;782,01;0,013269;1,26E-05
20;5,0715;789,27;0,013642;1,28E-05
25;4,9817;796,55;0,014017;1,30E-05
30;4,8952;803,82;0,014394;1,32E-05
35;4,8118;811,08;0,014773;1,34E-05
40;4,7313;818,33;0,015155;1,36E-05
45;4,6537;825,56;0,015538;1,38E-05
50;4,5787;832,77;0,015924;1,40E-05
55;4,5062;839,94;0,016312;1,42E-05
60;4,436;847,08;0,016701;1,44E-05
65;4,3681;854,17;0,017093;1,46E-05
70;4,3023;861,23;0,017487;1,48E-05
75;4,2385;868,24;0,017883;1,50E-05
80;4,1767;875,2;0,018282;1,52E-05
85;4,1167;882,1;0,018682;1,54E-05
90;4,0585;888,96;0,019084;1,56E-05
95;4,0019;895,75;0,019489;1,58E-05
100;3,9469;902,48;0,019895;1,60E-05
105;3,8935;909,16;0,020304;1,62E-05
110;3,8415;915,77;0,020715;1,64E-05
115;3,7909;922,31;0,021128;1,66E-05
120;3,7417;928,79;0,021543;1,68E-05
125;3,6938;935,21;0,02196;1,70E-05
130;3,6471;941,55;0,02238;1,72E-05
135;3,6016;947,83;0,022801;1,74E-05
140;3,5572;954,03;0,023224;1,76E-05
145;3,5139;960,17;0,02365;1,78E-05
150;3,4717;966,23;0,024078;1,80E-05
155;3,4305;972,23;0,024508;1,82E-05
160;3,3903;978,15;0,02494;1,84E-05
165;3,3511;984;0,025374;1,86E-05
170;3,3127;989,78;0,02581;1,88E-05
175;3,2753;995,48;0,026248;1,90E-05
180;3,2386;1001,1;0,026689;1,92E-05
185;3,2028;1006,7;0,027131;1,94E-05
190;3,1678;1012,2;0,027576;1,96E-05
195;3,1336;1017,6;0,028023;1,97E-05
200;3,1001;1022,9;0,028471;1,99E-05
