Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;3,8604;642,38;0,0094275;1,18E-05
10;3,7879;647,18;0,0097095;1,20E-05
15;3,7182;652,06;0,0099957;1,22E-05
20;3,6512;657,01;0,010286;1,24E-05
25;3,5868;662,02;0,010581;1,26E-05
30;3,5247;667,08;0,010879;1,28E-05
35;3,4648;672,18;0,011182;1,31E-05
40;3,4071;677,31;0,011488;1,33E-05
45;3,3513;682,45;0,011799;1,35E-05
50;3,2974;687,61;0,012113;1,37E-05
55;3,2453;692,78;0,012431;1,39E-05
60;3,1949;697,95;0,012753;1,41E-05
65;3,1461;703,12;0,013079;1,43E-05
70;3,0988;708,28;0,013408;1,46E-05
75;3,0529;713,43;0,013741;1,48E-05
80;3,0084;718,56;0,014077;1,50E-05
85;2,9653;723,66;0,014417;1,52E-05
90;2,9234;728,75;0,01476;1,54E-05
95;2,8827;733,81;0,015106;1,56E-05
100;2,8431;738,84;0,015456;1,58E-05
105;2,8047;743,84;0,015809;1,60E-05
110;2,7673;748,8;0,016165;1,62E-05
115;2,7309;753,73;0,016524;1,64E-05
120;2,6955;758,62;0,016886;1,66E-05
125;2,661;763,47;0,017252;1,68E-05
130;2,6273;768,28;0,01762;1,70E-05
135;2,5946;773,05;0,017991;1,72E-05
140;2,5626;777,78;0,018365;1,74E-05
145;2,5315;782,46;0,018741;1,76E-05
150;2,5011;787,1;0,019121;1,78E-05
155;2,4715;791,69;0,019503;1,80E-05
160;2,4425;796,24;0,019888;1,82E-05
165;2,4142;800,74;0,020275;1,84E-05
170;2,3866;805,19;0,020665;1,86E-05
175;2,3596;809,59;0,021057;1,88E-05
180;2,3333;813,95;0,021452;1,90E-05
185;2,3075;818,26;0,021849;1,91E-05
190;2,2823;822,53;0,022249;1,93E-05
195;2,2576;826,74;0,022651;1,95E-05
200;2,2335;830,91;0,023055;1,97E-05
