Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;2,3167;828,89;0,011258;1,17E-05
10;2,2733;832,92;0,011557;1,20E-05
15;2,2317;837,42;0,011867;1,22E-05
20;2,1917;842,34;0,012188;1,24E-05
25;2,1531;847,62;0,012518;1,26E-05
30;2,116;853,23;0,01286;1,28E-05
35;2,0803;859,13;0,013211;1,30E-05
40;2,0458;865,29;0,013573;1,33E-05
45;2,0124;871,67;0,013945;1,35E-05
50;1,9802;878,26;0,014328;1,37E-05
55;1,949;885,03;0,014721;1,39E-05
60;1,9189;891,95;0,015125;1,41E-05
65;1,8897;899,02;0,015538;1,43E-05
70;1,8614;906,22;0,015962;1,45E-05
75;1,834;913,52;0,016397;1,47E-05
80;1,8074;920,92;0,016842;1,49E-05
85;1,7815;928,4;0,017297;1,51E-05
90;1,7565;935,95;0,017762;1,54E-05
95;1,7321;943,57;0,018238;1,56E-05
100;1,7084;951,23;0,018725;1,58E-05
105;1,6854;958,94;0,019221;1,60E-05
110;1,663;966,68;0,019728;1,62E-05
115;1,6412;974,45;0,020245;1,64E-05
120;1,62;982,24;0,020773;1,66E-05
125;1,5993;990,04;0,021311;1,68E-05
130;1,5791;997,85;0,021859;1,70E-05
135;1,5595;1005,7;0,022418;1,72E-05
140;1,5404;1013,5;0,022987;1,74E-05
145;1,5217;1021,3;0,023566;1,76E-05
150;1,5035;1029;0,024155;1,78E-05
155;1,4857;1036,8;0,024755;1,80E-05
160;1,4683;1044,6;0,025366;1,81E-05
