Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;1391,4;1299,2;0,096316;0,00053051
10;1378,5;1308,5;0,094714;0,0004945
14,896;1365,7;1318;0,093158;0,00046252
14,896;5,9224;877,94;0,013107;9,92E-06
15;5,9199;878,07;0,013115;9,92E-06
20;5,8015;884,39;0,013483;1,01E-05
25;5,6887;890,98;0,013855;1,03E-05
30;5,5812;897,79;0,01423;1,05E-05
35;5,4783;904,8;0,014609;1,07E-05
40;5,3799;911,98;0,014991;1,09E-05
45;5,2854;919,3;0,015377;1,10E-05
50;5,1948;926,73;0,015765;1,12E-05
55;5,1076;934,26;0,016157;1,14E-05
60;5,0237;941,87;0,016551;1,16E-05
65;4,9428;949,54;0,016948;1,18E-05
70;4,8648;957,27;0,017347;1,20E-05
75;4,7895;965,04;0,01775;1,21E-05
80;4,7167;972,84;0,018154;1,23E-05
85;4,6463;980,67;0,018561;1,25E-05
90;4,5781;988,52;0,01897;1,27E-05
95;4,5121;996,37;0,019381;1,29E-05
100;4,4482;1004,2;0,019794;1,30E-05
105;4,3861;1012,1;0,020209;1,32E-05
110;4,3259;1019,9;0,020625;1,34E-05
115;4,2674;1027,8;0,021044;1,36E-05
120;4,2106;1035,6;0,021464;1,37E-05
125;4,1553;1043,4;0,021885;1,39E-05
130;4,1016;1051,2;0,022308;1,41E-05
135;4,0493;1059;0,022733;1,43E-05
140;3,9984;1066,7;0,023158;1,44E-05
145;3,9488;1074,4;0,023585;1,46E-05
150;3,9005;1082,1;0,024013;1,48E-05
155;3,8534;1089,7;0,024442;1,49E-05
160;3,8075;1097,3;0,024872;1,51E-05
165;3,7627;1104,9;0,025303;1,53E-05
170;3,719;1112,4;0,025734;1,55E-05
175;3,6763;1119,9;0,026167;1,56E-05
180;3,6346;1127,4;0,0266;1,58E-05
185;3,5939;1134,8;0,027033;1,60E-05
190;3,5541;1142,2;0,027467;1,61E-05
195;3,5152;1149,5;0,027902;1,63E-05
200;3,4772;1156,8;0,028337;1,64E-05
