Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;2,9769;1015,5;0,012218;9,37E-06
10;2,9189;1023,9;0,012702;9,55E-06
15;2,8633;1032,6;0,013187;9,73E-06
20;2,8101;1041,6;0,013672;9,90E-06
25;2,759;1050,8;0,014156;1,01E-05
30;2,71;1060,3;0,014641;1,03E-05
35;2,6628;1070;0,015127;1,04E-05
40;2,6173;1079,8;0,015612;1,06E-05
45;2,5736;1089,8;0,016097;1,08E-05
50;2,5313;1099,9;0,016582;1,10E-05
55;2,4906;1110,2;0,017068;1,11E-05
60;2,4512;1120,5;0,017553;1,13E-05
65;2,4131;1130,9;0,018038;1,15E-05
70;2,3763;1141,4;0,018524;1,17E-05
75;2,3406;1152;0,019009;1,18E-05
80;2,3061;1162,6;0,019495;1,20E-05
85;2,2726;1173,2;0,019981;1,22E-05
90;2,2401;1183,9;0,020466;1,24E-05
95;2,2085;1194,6;0,020952;1,25E-05
100;2,1779;1205,3;0,021438;1,27E-05
105;2,1481;1216;0,021923;1,29E-05
110;2,1192;1226,8;0,022409;1,30E-05
115;2,0911;1237,5;0,022895;1,32E-05
120;2,0637;1248,2;0,023381;1,34E-05
125;2,0371;1258,9;0,023867;1,36E-05
130;2,0111;1269,5;0,024353;1,37E-05
135;1,9859;1280,2;0,024839;1,39E-05
140;1,9613;1290,8;0,025324;1,41E-05
145;1,9373;1301,4;0,02581;1,42E-05
150;1,9138;1311,9;0,026296;1,44E-05
155;1,891;1322,4;0,026782;1,46E-05
160;1,8687;1332,8;0,027268;1,47E-05
165;1,847;1343,2;0,027754;1,49E-05
170;1,8257;1353,6;0,02824;1,51E-05
175;1,805;1363,8;0,028726;1,52E-05
180;1,7847;1374;0,029212;1,54E-05
185;1,7649;1384,2;0,029699;1,56E-05
190;1,7455;1394,2;0,030185;1,57E-05
195;1,7266;1404,2;0,030671;1,59E-05
200;1,708;1414,1;0,031157;1,61E-05
