Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;4,6289;620,09;0,011034;1,34E-05
10;4,5443;625,59;0,011346;1,37E-05
15;4,4628;631,06;0,011661;1,39E-05
20;4,3843;636,49;0,011977;1,41E-05
25;4,3086;641,89;0,012295;1,44E-05
30;4,2355;647,25;0,012615;1,46E-05
35;4,165;652,55;0,012936;1,48E-05
40;4,0968;657,81;0,013259;1,50E-05
45;4,0308;663;0,013583;1,53E-05
50;3,967;668,15;0,013909;1,55E-05
55;3,9053;673,23;0,014236;1,57E-05
60;3,8454;678,24;0,014564;1,59E-05
65;3,7875;683,2;0,014893;1,61E-05
70;3,7312;688,09;0,015223;1,63E-05
75;3,6767;692,91;0,015555;1,65E-05
80;3,6237;697,66;0,015887;1,68E-05
85;3,5722;702,34;0,01622;1,70E-05
90;3,5223;706,95;0,016553;1,72E-05
95;3,4737;711,48;0,016888;1,74E-05
100;3,4264;715,95;0,017223;1,76E-05
105;3,3805;720,33;0,017558;1,78E-05
110;3,3357;724,65;0,017894;1,80E-05
115;3,2922;728,89;0,018231;1,82E-05
120;3,2498;733,05;0,018567;1,84E-05
125;3,2085;737,14;0,018904;1,86E-05
