Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade;
5;7,7857;679,37;0,0092005;1,00E-05;
10;7,6313;684,46;0,0094504;1,02E-05;
15;7,4836;689,57;0,0097021;1,04E-05;
20;7,3422;694,68;0,0099556;1,06E-05;
25;7,2065;699,77;0,010211;1,08E-05;
30;7,0763;704,85;0,010467;1,10E-05;
35;6,951;709,91;0,010725;1,12E-05;
40;6,8305;714,93;0,010984;1,14E-05;
45;6,7145;719,91;0,011245;1,16E-05;
50;6,6025;724,86;0,011506;1,18E-05;
55;6,4945;729,76;0,011769;1,20E-05;
60;6,3903;734,61;0,012033;1,22E-05;
65;6,2895;739,42;0,012298;1,23E-05;
70;6,192;744,17;0,012563;1,25E-05;
75;6,0976;748,88;0,01283;1,27E-05;
80;6,0063;753,53;0,013097;1,29E-05;
85;5,9178;758,14;0,013365;1,31E-05;
90;5,8319;762,69;0,013634;1,33E-05;
95;5,7486;767,18;0,013903;1,35E-05;
100;5,6678;771,62;0,014172;1,37E-05;
105;5,5893;776,01;0,014443;1,38E-05;
110;5,5131;780,35;0,014713;1,40E-05;
115;5,4389;784,63;0,014984;1,42E-05;
120;5,3668;788,86;0,015256;1,44E-05;
125;5,2967;793,03;0,015527;1,46E-05;
130;5,2284;797,15;0,015799;1,48E-05;
135;5,1619;801,22;0,016071;1,49E-05;
140;5,0972;805,23;0,016343;1,51E-05;
145;5,0341;809,2;0,016615;1,53E-05;
150;4,9726;813,11;0,016888;1,55E-05;
155;4,9126;816,97;0,01716;1,56E-05;
160;4,854;820,77;0,017432;1,58E-05;
165;4,7969;824,52;0,017704;1,60E-05;
170;4,7412;828,23;0,017976;1,62E-05;
175;4,6868;831,88;0,018248;1,63E-05;
180;4,6336;835,47;0,018519;1,65E-05;
185;4,5816;839,02;0,018791;1,67E-05;
190;4,5309;842,51;0,019062;1,69E-05;
195;4,4812;845,96;0,019332;1,70E-05;
200;4,4327;849,35;0,019603;1,72E-05;
